City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
366,fortuna,40.5982,-124.1573,9.4,95,75,4.12,US,1675627067
367,sanming,26.2486,117.6186,15.01,99,100,0.34,CN,1675627092
368,zaysan,47.4667,84.8667,-9.63,90,99,2.02,KZ,1675627092
369,krasnyy yar,46.5331,48.3456,-3.04,94,47,2.84,RU,1675627093
370,dambulla,7.86,80.6517,20.8,93,96,1.14,LK,1675627093
371,adrar,20.5022,-10.0711,17.45,24,76,4.71,MR,1675627094
372,durango,24.8333,-104.8333,21.59,19,0,2.96,MX,1675627094
373,parana,-31.732,-60.5238,34.75,32,0,2.04,AR,1675627095
374,creel,27.75,-107.6333,18.58,14,0,4.12,MX,1675627095
375,rio grande,-32.035,-52.0986,27.06,71,15,6.04,BR,1675627096
376,camara de lobos,32.6333,-16.9667,16.74,81,40,7.2,PT,1675627096
377,navrongo,10.8956,-1.0921,29.88,13,35,3.51,GH,1675627096
378,mocajuba,-2.5842,-49.5072,25.81,90,99,1.76,BR,1675627089
379,bilma,18.6853,12.9164,21.9,15,18,7.34,NE,1675627097
380,bara,10.3744,10.7288,26.98,16,67,3.88,NG,1675627097
381,imbituba,-28.24,-48.6703,25.95,64,54,2.95,BR,1675627098
382,shahrud,36.4182,54.9763,2.5,43,0,1.24,IR,1675627098
383,beira,-19.8436,34.8389,28.05,83,20,3.6,MZ,1675627099
384,cabo san lucas,22.8909,-109.9124,28.12,51,23,0.89,MX,1675627047
385,capao da canoa,-29.7456,-50.0097,28.71,51,3,4.09,BR,1675627099
386,reforma,18.1,-91.0167,26.16,66,67,1.99,MX,1675627100
387,port-cartier,50.0334,-66.8654,-14.03,85,100,3.15,CA,1675627100
388,eirunepe,-6.6603,-69.8736,25.32,82,100,1.22,BR,1675627101
389,yang talat,16.3998,103.3679,28.3,95,93,1.13,TH,1675627101
390,zyryanka,65.75,150.85,-35.48,100,100,1.07,RU,1675627101
391,sao filipe,14.8961,-24.4956,21.71,62,98,6.29,CV,1675627102
392,carnarvon,-24.8667,113.6333,24.88,75,1,6.69,AU,1675627102
393,norman wells,65.282,-126.8329,-30.98,76,75,0.0,CA,1675627103
394,gualeguay,-33.1416,-59.3097,34.59,15,0,1.84,AR,1675627103
395,port-gentil,-0.7193,8.7815,25.98,83,20,1.54,GA,1675627104
396,barranca,-10.75,-77.7667,24.69,67,28,4.37,PE,1675627104
397,ouesso,1.6136,16.0517,26.4,30,87,1.4,CG,1675627105
398,broome,42.2506,-75.833,6.5,52,0,5.14,US,1675627105
399,ugoofaaru,5.6667,73.0,26.85,76,98,1.99,MV,1675627106
400,faya,18.3851,42.4509,14.29,65,99,1.71,SA,1675627106
401,koumac,-20.5667,164.2833,27.92,80,99,2.62,NC,1675627107
402,notse,6.95,1.1667,29.68,57,100,4.56,TG,1675627108
403,kuminskiy,58.6667,66.5667,-14.8,99,100,1.09,RU,1675627111
404,arlit,18.7369,7.3853,25.21,11,6,4.62,NE,1675627112
405,los llanos de aridane,28.6585,-17.9182,13.96,72,75,5.14,ES,1675627112
406,sambava,-14.2667,50.1667,24.96,88,100,3.04,MG,1675627112
407,ossora,59.2353,163.0719,-24.87,80,7,2.1,RU,1675627113
408,chaumont,48.1167,5.1333,5.47,89,93,6.01,FR,1675627113
409,arica,-18.475,-70.3042,28.75,69,0,4.12,CL,1675627113
410,binika,21.0333,83.8,17.57,24,0,1.0,IN,1675627114
411,isangel,-19.55,169.2667,27.64,80,100,2.51,VU,1675627114
412,aksha,50.2814,113.2867,-20.61,96,22,1.95,RU,1675627115
